Timestamp, Sequence Number, SubPoint Number, Vertix Number, Comment, X(um), Y(um), Intended X(um), Intended Y(um), Scan Velocity (um/s), Laser State, Laser Rep. Rate (Hz), Spot Type, Spot Size (um), Spot Angle (deg), MFC1 (ml/min), MFC2 (ml/min), Cell Pressure (kPa), Z(um), Laser Mode, Laser HV (kV), Laser Energy (mJ), On-Sample Fluence (J.cm⁻²)
2021-06-29 19:33:16.681,1,1,,NIST612,29679,16677,,,,Off,0,Wheel,90.0,0,395.737591911765,7.61328125,9.89748572335026,0,Compex_EGY_NGR,28.420,97.930,6.500
2021-06-29 19:33:17.836,,,,,29679,16677,,,10000,On,6,Wheel,90.0,0,395.39094193712,7.5927734375,9.62484137055839,0,Compex_EGY_NGR,28.420,97.930,6.500
2021-06-29 19:33:17.962,,,,,29679,16677,29679,16677,,On,6,Wheel,90.0,0,395.836634761663,7.58984375,9.674413071066,0,Compex_EGY_NGR,28.420,97.930,6.500
2021-06-29 19:33:46.143,,,,,29679,16677,,,,On,6,Wheel,75.0,0,398.411748859026,7.6123046875,9.66202014593908,0,Compex_EGY_NGR,28.350,97.345,6.511
2021-06-29 19:34:28.864,,,,,29679,16677,,,,On,6,Wheel,75.0,0,396.232806161258,7.5615234375,9.78594939720811,0,Compex_EGY_NGR,28.450,96.603,6.468
2021-06-29 19:34:55.295,2,1,,NIST612,29816,17153,,,,On,6,Wheel,75.0,0,396.08424188641,7.5771484375,9.45134041878173,0,Compex_EGY_NGR,28.466,96.763,6.476
2021-06-29 19:34:56.450,,,,,29816,17153,,,10000,On,6,Wheel,75.0,0,397.124191810345,7.578125,9.674413071066,0,Compex_EGY_NGR,28.466,96.763,6.476
2021-06-29 19:34:56.530,,,,,29816,17153,29816,17153,,On,6,Wheel,75.0,0,397.124191810345,7.5810546875,9.7363776967005,0,Compex_EGY_NGR,28.466,96.763,6.476
2021-06-29 19:35:24.751,,,,,29816,17153,,,,On,6,Wheel,75.0,0,399.798348757606,7.6103515625,9.74877062182742,0,Compex_EGY_NGR,28.346,96.449,6.458
2021-06-29 19:36:07.471,,,,,29816,17153,,,,On,6,Wheel,75.0,0,395.787113336714,7.5751953125,9.89748572335026,0,Compex_EGY_NGR,28.455,97.040,6.493
2021-06-29 19:36:33.905,3,1,,NIST612,31063,17373,,,,On,6,Wheel,75.0,0,396.08424188641,7.5859375,9.79834232233503,0,Compex_EGY_NGR,28.465,96.955,6.487
2021-06-29 19:36:35.081,,,,,31063,17373,,,10000,On,6,Wheel,75.0,0,395.489984787018,7.5546875,9.79834232233503,0,Compex_EGY_NGR,28.465,96.955,6.487
2021-06-29 19:36:35.211,,,,,31063,17373,31063,17373,,On,6,Wheel,75.0,0,395.737591911765,7.5625,9.83552109771576,0,Compex_EGY_NGR,28.455,97.131,6.498
2021-06-29 19:37:03.289,,,,,31063,17373,,,,On,6,Wheel,75.0,0,399.55074163286,7.6171875,9.82312817258884,0,Compex_EGY_NGR,28.510,97.095,6.496
2021-06-29 19:37:46.008,,,,,31063,17373,,,,On,6,Wheel,75.0,0,396.430891861055,7.5849609375,9.90987864847716,0,Compex_EGY_NGR,28.441,97.385,6.512
2021-06-29 19:38:12.527,4,1,,KKE30-1-a1,19750,65395,,,,On,6,Wheel,75.0,0,396.7775418357,7.5732421875,9.7363776967005,0,Compex_EGY_NGR,28.398,97.545,6.522
2021-06-29 19:38:13.683,,,,,19750,65395,,,10000,On,6,Wheel,75.0,0,397.173713235294,7.578125,9.82312817258884,0,Compex_EGY_NGR,28.398,97.545,6.522
2021-06-29 19:38:13.817,,,,,19750,65395,19750,65395,,On,6,Wheel,75.0,0,396.975627535497,7.5791015625,9.87269987309645,0,Compex_EGY_NGR,28.400,97.160,6.500
2021-06-29 19:38:41.818,,,,,19750,65395,,,,On,6,Wheel,75.0,0,399.006005958418,7.59765625,9.56287674492387,0,Compex_EGY_NGR,28.444,97.218,6.502
2021-06-29 19:39:24.538,,,,,19750,65395,,,,On,6,Wheel,75.0,0,394.945249112576,7.57421875,9.97184327411166,0,Compex_EGY_NGR,28.434,97.376,6.512
2021-06-29 19:39:50.813,5,1,,JCt,69258,35760,,,,On,6,Wheel,75.0,0,396.08424188641,7.5888671875,9.76116354695431,0,Compex_EGY_NGR,28.393,97.369,6.511
2021-06-29 19:39:51.969,,,,,69258,35760,,,10000,On,6,Wheel,75.0,0,395.489984787018,7.576171875,9.87269987309645,0,Compex_EGY_NGR,28.393,97.369,6.511
2021-06-29 19:39:52.063,,,,,69258,35760,69258,35760,,On,6,Wheel,75.0,0,395.440463362069,7.5732421875,9.79834232233503,0,Compex_EGY_NGR,28.388,97.175,6.500
2021-06-29 19:40:20.260,,,,,69258,35760,,,,On,6,Wheel,75.0,0,399.105048808316,7.61328125,9.56287674492387,0,Compex_EGY_NGR,28.371,96.558,6.465
2021-06-29 19:41:02.981,,,,,69258,35760,,,,On,6,Wheel,75.0,0,396.480413286004,7.583984375,9.76116354695431,0,Compex_EGY_NGR,28.433,97.289,6.507
2021-06-29 19:41:29.397,6,1,,KKE30-1-a2,20026,65343,,,,On,6,Wheel,75.0,0,395.688070486815,7.5634765625,9.97184327411166,0,Compex_EGY_NGR,28.414,96.664,6.471
2021-06-29 19:41:30.592,,,,,20026,65343,,,10000,On,6,Wheel,75.0,0,396.381370436105,7.587890625,9.94705742385787,0,Compex_EGY_NGR,28.414,96.664,6.471
2021-06-29 19:41:30.662,,,,,20026,65343,20025.703125,65342.546875,,On,6,Wheel,75.0,0,396.282327586207,7.5810546875,9.92227157360406,0,Compex_EGY_NGR,28.414,96.664,6.471
2021-06-29 19:41:58.858,,,,,20026,65343,,,,On,6,Wheel,75.0,0,400.739255831643,7.60546875,9.55048381979695,0,Compex_EGY_NGR,28.376,96.395,6.456
2021-06-29 19:42:41.587,,,,,20026,65343,,,,On,6,Wheel,75.0,0,396.08424188641,7.57421875,9.81073524746195,0,Compex_EGY_NGR,28.428,97.061,6.494
2021-06-29 19:43:07.949,7,1,,KKE30-1-a3,20119,65200,,,,On,6,Wheel,75.0,0,396.331849011156,7.5849609375,10.0833796002538,0,Compex_EGY_NGR,28.586,96.984,6.489
2021-06-29 19:43:09.141,,,,,20119,65200,,,10000,On,6,Wheel,75.0,0,395.440463362069,7.5673828125,9.74877062182742,0,Compex_EGY_NGR,28.586,96.984,6.489
2021-06-29 19:43:09.223,,,,,20119,65200,20119,65200,,On,6,Wheel,75.0,0,395.489984787018,7.5673828125,9.78594939720811,0,Compex_EGY_NGR,28.584,97.043,6.493
2021-06-29 19:43:37.273,,,,,20119,65200,,,,On,6,Wheel,75.0,0,399.55074163286,7.6015625,9.58766259517768,0,Compex_EGY_NGR,28.500,96.980,6.489
2021-06-29 19:44:19.991,,,,,20119,65200,,,,On,6,Wheel,75.0,0,396.579456135903,7.56640625,9.74877062182742,0,Compex_EGY_NGR,28.479,96.824,6.480
2021-06-29 19:44:46.450,8,1,,Blue,123459,91811,,,,On,6,Wheel,75.0,0,396.133763311359,7.5986328125,9.64962722081219,0,Compex_EGY_NGR,28.430,97.001,6.490
